device,play_count,active_duration_s,churn,mean_score,sd_score,best_score,worst_score,best_score_index,best_sub_mean_count,best_sub_mean_ratio,consecutive_play_ratio,median_gap
357732056302851,1,0,1,1450.0,0.0,1450.0,1450.0,0.0,0.0,0.0,0.0,0.0
358913047379948,27,250907,1,115.77777777777777,77.39333559849794,282.0,0.0,0.19230769230769232,6.156378600823046,1.435700575815739,0.8846153846153846,32.5
353472060718545,1,0,1,415.0,0.0,415.0,415.0,0.0,0.0,0.0,0.0,0.0
A10000136B66CC,2,26,1,20.0,4.0,24.0,16.0,1.0,2.0,0.2,1.0,26.0
358107061526233,8,4288,0,467.0,383.75545598727325,1326.0,151.0,0.42857142857142855,107.375,1.8394004282655245,1.0,116.0
358575050789915,1,0,1,85.0,0.0,85.0,85.0,0.0,0.0,0.0,0.0,0.0
357538063390452,1,0,1,138.0,0.0,138.0,138.0,0.0,0.0,0.0,0.0,0.0
359677051920850,1,0,1,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0
356183060793480,1,0,1,13.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0
352255058500566,2,48,1,56.0,32.0,88.0,24.0,1.0,16.0,0.5714285714285714,1.0,48.0
356432050951289,1,0,1,54.0,0.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0
355744044654956,24,325858,0,21.75,21.722204461487483,95.0,0.0,0.6521739130434783,3.0520833333333335,3.367816091954023,0.8695652173913043,13.0
353186043908722,6,90625,0,45.833333333333336,20.053400930737133,67.0,6.0,0.6,3.5277777777777772,0.46181818181818174,0.8,2669.0
353870060567228,10,10043,1,133.7,156.4321258565516,432.0,1.0,0.6666666666666666,29.830000000000002,2.231114435302917,0.8888888888888888,109.0
356183061127340,1,0,1,49.0,0.0,49.0,49.0,0.0,0.0,0.0,0.0,0.0
35503305430432,1,0,1,33.0,0.0,33.0,33.0,0.0,0.0,0.0,0.0,0.0
353964052923554,4,138,1,14.5,14.99166435056495,40.0,2.0,0.0,6.375,1.7586206896551724,1.0,49.0
354888061003984,6,597,1,247.0,168.0843042444277,537.0,48.0,0.8,48.333333333333336,1.174089068825911,1.0,117.0
353010060478973,1,0,1,464.0,0.0,464.0,464.0,0.0,0.0,0.0,0.0,0.0
356163050651948,15,30860,1,79.53333333333333,64.11850140343442,210.0,0.0,0.0,8.697777777777778,1.6404023470243085,0.9285714285714286,51.0
354724052493720,1,0,1,139.0,0.0,139.0,139.0,0.0,0.0,0.0,0.0,0.0
355342051783329,1,0,1,20.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0
359963040218253,3,77,1,54.0,45.526549030940906,117.0,11.0,0.5,21.0,1.1666666666666667,1.0,38.5
358532060245404,1,0,1,12.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0
352135074747096,11,340796,1,195.45454545454547,144.6408490247882,497.0,2.0,0.8,27.413223140495862,1.5427906976744183,0.6,225.0
352610060370905,7,241,1,42.42857142857143,35.318377016817195,85.0,1.0,0.3333333333333333,6.081632653061225,1.0033670033670032,1.0,43.5
354596060474763,9,400,1,39.888888888888886,16.562638305968076,66.0,18.0,0.125,2.901234567901235,0.6545961002785516,1.0,47.0
358408051543208,1,0,1,148.0,0.0,148.0,148.0,0.0,0.0,0.0,0.0,0.0
35451605358730,27,80614,1,20.59259259259259,18.704840449504687,66.0,0.0,0.23076923076923078,1.6817558299039779,2.2050359712230216,0.8461538461538461,30.0
353962051332678,2,111,1,185.5,131.5,317.0,54.0,1.0,65.75,0.7088948787061995,1.0,111.0
356432056642874,1,0,1,1340.0,0.0,1340.0,1340.0,0.0,0.0,0.0,0.0,0.0
352981058798112,2,59,1,76.5,3.5,80.0,73.0,1.0,1.75,0.0457516339869281,1.0,59.0
359106046401024,10,354959,0,26.5,26.911893281595777,76.0,0.0,0.5555555555555556,4.95,1.8679245283018868,0.8888888888888888,13.0
354257059984912,1,0,1,6.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0
358575051486495,3,245,1,25.666666666666668,25.249862485874164,60.0,0.0,1.0,11.444444444444443,1.3376623376623373,1.0,122.5
354164062406224,1,0,0,32.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0
